NO,short,full,press,link,domain,kind,rank
1,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.org/db/journals/tocs/,计算机体系结构/并行与分布计算/存储系统,期刊,A
2,TOS,ACM Transactions on Storage,ACM,http://dblp.org/db/journals/tos/,计算机体系结构/并行与分布计算/存储系统,期刊,A
3,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits And System,IEEE,http://dblp.org/db/journals/tcad/,计算机体系结构/并行与分布计算/存储系统,期刊,A
4,TC,IEEE Transactions on Computers,IEEE,http://dblp.org/db/journals/tc/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,A
5,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.org/db/journals/tpds/,计算机体系结构/并行与分布计算/存储系统,期刊,A
6,TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.org/db/journals/taco/,计算机体系结构/并行与分布计算/存储系统,期刊,A
1,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.org/db/journals/taas/,计算机体系结构/并行与分布计算/存储系统,期刊,B
2,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.org/db/journals/todaes/,计算机体系结构/并行与分布计算/存储系统,期刊,B
3,TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.org/db/journals/tecs/,计算机体系结构/并行与分布计算/存储系统,期刊,B
4,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.org/db/journals/trets/,计算机体系结构/并行与分布计算/存储系统,期刊,B
5,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.org/db/journals/tvlsi/,计算机体系结构/并行与分布计算/存储系统,期刊,B
6,JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.org/db/journals/jpdc/,计算机体系结构/并行与分布计算/存储系统,期刊,B
7,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.org/db/journals/jsa/,计算机体系结构/并行与分布计算/存储系统,期刊,B
8,PARCO,Parallel Computing,Elsevier,http://dblp.org/db/conf/parco/,计算机体系结构/并行与分布计算/存储系统,期刊,B
9,,Performance Evaluation: An International Journal,Elsevier,http://www.journals.elsevier.com/performance-evaluation/,计算机体系结构/并行与分布计算/存储系统,期刊,B
1,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.org/db/journals/jetc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
2,,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.org/db/journals/concurrency/,计算机体系结构/并行与分布计算/存储系统,期刊,C
3,DC,Distributed Computing,Springer,http://dblp.org/db/journals/dc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
4,FGCS,Future Generation Computer Systems,Elsevier,http://dblp.org/db/journals/fgcs/,计算机体系结构/并行与分布计算/存储系统,期刊,C
5,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.org/db/journals/tcc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
6,Integration,"Integration, the VLSI Journal",Elsevier,http://dblp.org/db/journals/integration/,计算机体系结构/并行与分布计算/存储系统,期刊,C
7,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,http://link.springer.com/journal/10836,计算机体系结构/并行与分布计算/存储系统,期刊,C
8,JGC,Journal of Grid computing,Springer,https://dblp.org/db/journals/grid/,计算机体系结构/并行与分布计算/存储系统,期刊,C
10,RTS,Real-Time Systems,Springer,http://dblp.org/db/journals/rts/,计算机体系结构/并行与分布计算/存储系统,期刊,C
11,TJSC,The Journal of Supercomputing,Springer,http://dblp.org/db/journals/tjs/,计算机体系结构/并行与分布计算/存储系统,期刊,C
12,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,C
13,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,C
14,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,C
1,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.org/db/conf/ppopp/,计算机体系结构/并行与分布计算/存储系统,会议,A
